name,sex,race,url
Achaeraizur,NA,Deadra,https://en.uesp.net/wiki/Online:Achaeraizur
Achane Elbert,Male,Breton,https://en.uesp.net/wiki/Online:Achane_Elbert
Achdazan,Male,Redguard,https://en.uesp.net/wiki/Online:Achdazan
Achel,Male,Redguard,https://en.uesp.net/wiki/Morrowind:Achel
Achelir,Male,Redguard,https://en.uesp.net/wiki/Online:Achelir
Achene,Male,Breton,https://en.uesp.net/wiki/Online:Achene_Douare
Achene Douare,Male,Breton,https://en.uesp.net/wiki/Online:Achene_Douare
Achibert Lemal,Male,Breton,https://en.uesp.net/wiki/Online:Achibert_Lemal
Achibert Stental,Male,Breton,https://en.uesp.net/wiki/Online:Achibert_Stental
Achille,Male,Breton,https://en.uesp.net/wiki/Oblivion:Achille
Achille Claverie,Male,Breton,https://en.uesp.net/wiki/Online:Achille_Claverie
Achille Lan,Male,Breton,https://en.uesp.net/wiki/Online:Achille_Lan
Acicius,NA,Imperial,https://en.uesp.net/wiki/Morrowind:Pelena_Acicius
Acidinus,NA,Imperial,https://en.uesp.net/wiki/Online:Casta_Acidinus
Acilius,NA,Imperial,https://en.uesp.net/wiki/Morrowind:Furius_Acilius
Acilius,Male,Imperial,https://en.uesp.net/wiki/Skyrim:Bolar%27s_Writ
Acolyte Alurue,NA,Dunmer,https://en.uesp.net/wiki/Online:Acolyte_Alurue
Acolyte Cadiva,Female,Dunmer,https://en.uesp.net/wiki/Online:Acolyte_Cadiva
Acolyte Cararilde,Female,Altmer,https://en.uesp.net/wiki/Online:Acolyte_Cararilde
Acolyte Cirges,NA,Breton,https://en.uesp.net/wiki/Online:Acolyte_Cirges
Acolyte Croble,Male,Imperial,https://en.uesp.net/wiki/Online:Acolyte_Croble
Acolyte Deras Arelas,Male,Dunmer,https://en.uesp.net/wiki/Online:Acolyte_Deras_Arelas
Acolyte Eivina,Female,Altmer,https://en.uesp.net/wiki/Online:Acolyte_Eivina
Acolyte Eldri,NA,Dunmer,https://en.uesp.net/wiki/Online:Acolyte_Eldri
Acolyte Gami,Female,Dunmer,https://en.uesp.net/wiki/Online:Acolyte_Gami
Acolyte Hjolt,Male,Nord,https://en.uesp.net/wiki/Online:Acolyte_Hjolt
Acolyte Hlen,Male,Dunmer,https://en.uesp.net/wiki/Online:Acolyte_Hlen
Acolyte Indririi,NA,Dunmer,https://en.uesp.net/wiki/Online:Acolyte_Indririi
Acolyte Jenssen,Male,Nord,https://en.uesp.net/wiki/Skyrim:Acolyte_Jenssen
Acolyte Krem,Male,Dunmer,https://en.uesp.net/wiki/Online:Acolyte_Krem
Acolyte Larilvor,Male,Dunmer,https://en.uesp.net/wiki/Online:Acolyte_Larilvor
Acolyte Madrana,NA,Dunmer,https://en.uesp.net/wiki/Online:Acolyte_Madrana
Acolyte Marcele,Female,Breton,https://en.uesp.net/wiki/Online:Acolyte_Marcele
Acolyte Molozu,Male,Orc,https://en.uesp.net/wiki/Online:Acolyte_Molozu
Acolyte Morag,NA,NA,https://en.uesp.net/wiki/Online:Acolyte_Morag
Acolyte Pepi,Female,Breton,https://en.uesp.net/wiki/Online:Acolyte_Pepi
Acolyte Ralas,NA,NA,https://en.uesp.net/wiki/Online:Acolyte_Ralas
Acolyte Raloro,Male,Dunmer,https://en.uesp.net/wiki/Online:Acolyte_Raloro
Acolyte Sendust,Male,Dunmer,https://en.uesp.net/wiki/Online:Acolyte_Sendust
Acolyte Sethrin,Male,Dunmer,https://en.uesp.net/wiki/Online:Acolyte_Sethrin
Acolyte Sevy,NA,Dunmer,https://en.uesp.net/wiki/Online:Acolyte_Sevy
Acolyte Sondas,Male,Dunmer,https://en.uesp.net/wiki/Online:Acolyte_Sondas
Acolyte Sorick,NA,Breton,https://en.uesp.net/wiki/Online:Acolyte_Sorick
Acolyte Taelu,Female,Dunmer,https://en.uesp.net/wiki/Online:Acolyte_Taelu
Acolyte Terenu,NA,NA,https://en.uesp.net/wiki/Online:Acolyte_Terenu
Acolyte Vadrik,Male,Dunmer,https://en.uesp.net/wiki/Online:Acolyte_Vadrik
Acolyte Variah,NA,Dunmer,https://en.uesp.net/wiki/Online:Acolyte_Variah
Acolyte Vuri,Female,Dunmer,https://en.uesp.net/wiki/Online:Acolyte_Vuri
Aconia Gallus,Female,Imperial,https://en.uesp.net/wiki/Online:Aconia_Gallus
Aconia Getha,Female,Imperial,https://en.uesp.net/wiki/Online:Aconia_Getha
Acques,NA,Breton,https://en.uesp.net/wiki/Morrowind:Frelene_Acques
Ada'tyool,Male,Dunmer,https://en.uesp.net/wiki/General:People_of_Morrowind
Adabibi,Female,Khajiit,https://en.uesp.net/wiki/Online:Adabibi
Adagio,NA,NA,https://en.uesp.net/wiki/Online:Adagio
Adagwen,Female,Bosmer,https://en.uesp.net/wiki/Online:Adagwen
Adah,Female,Redguard,https://en.uesp.net/wiki/Online:Wyress_Adah
Adahni,Male,Khajiit,https://en.uesp.net/wiki/Online:Priest_Adahni
Adainat,Male,Khajiit,https://en.uesp.net/wiki/Online:Adainat
Adainji,Male,Khajiit,https://en.uesp.net/wiki/Online:Adainji
Adainril,Male,Khajiit,https://en.uesp.net/wiki/Online:Adainril
Adainurr,Male,Khajiit,https://en.uesp.net/wiki/Online:Adainurr
Adair,Male,Breton,https://en.uesp.net/wiki/Online:Adair_Catreau
Adair Catreau,Male,Breton,https://en.uesp.net/wiki/Online:Adair_Catreau
Adairan,NA,Dunmer,https://en.uesp.net/wiki/Morrowind:Adairan_Lalansour
Adairan Lalansour,NA,Dunmer,https://en.uesp.net/wiki/Morrowind:Adairan_Lalansour
Adaire,NA,Altmer,NA
Adaishah,NA,Dunmer,https://en.uesp.net/wiki/Morrowind:Adaishah_Ahanidiran
Adaishah Ahanidiran,NA,Dunmer,https://en.uesp.net/wiki/Morrowind:Adaishah_Ahanidiran
Adaishir,Male,Khajiit,https://en.uesp.net/wiki/Online:Adaishir
Adajadhi,Female,Khajiit,https://en.uesp.net/wiki/Online:Adajadhi
Adajan,Male,Redguard,https://en.uesp.net/wiki/Online:Adajan
Adal,Male,Redguard,https://en.uesp.net/wiki/Online:Adal
Adalamusa,Female,Khajiit,https://en.uesp.net/wiki/Online:Adalamusa
Adalard,Male,Breton,https://en.uesp.net/wiki/Online:Adalard
Adalema,Female,Khajiit,https://en.uesp.net/wiki/Online:Adalema
Adalmor,Male,Nord,https://en.uesp.net/wiki/Online:Adalmor
Adalvald,Male,Nord,https://en.uesp.net/wiki/Skyrim:Vigilant_Adalvald
Adam,Male,Breton,https://en.uesp.net/wiki/Online:Adam_Charnis
Adam Charnis,Male,Breton,https://en.uesp.net/wiki/Online:Adam_Charnis
Adamir,Male,Bosmer,https://en.uesp.net/wiki/Online:Adamir
Adamus,Male,Imperial,https://en.uesp.net/wiki/Oblivion:Adamus_Phillida
Adamus Phillida,Male,Imperial,https://en.uesp.net/wiki/Oblivion:Adamus_Phillida
Adana,Female,Nord,https://en.uesp.net/wiki/Online:Adana
Adandora,Female,Bosmer,https://en.uesp.net/wiki/Online:Adandora
Adanja,Female,Khajiit,https://en.uesp.net/wiki/Morrowind:Adanja
Adanrel,Female,Bosmer,https://en.uesp.net/wiki/Oblivion:Adanrel
Adansa,Female,Dunmer,https://en.uesp.net/wiki/Online:Adansa_Vadryon
Adansa Vadryon,Female,Dunmer,https://en.uesp.net/wiki/Online:Adansa_Vadryon
Adar,Male,Redguard,https://en.uesp.net/wiki/Online:Seneschal_Adar
Adara,Female,Redguard,https://en.uesp.net/wiki/Online:Adara
Adara,Female,Redguard,https://en.uesp.net/wiki/Skyrim:Adara
Adara'hai,Female,Khajiit,https://en.uesp.net/wiki/Online:Adara%27hai
Adas,NA,Dunmer,https://en.uesp.net/wiki/Oblivion:Avrus_Adas
Adaves,Male,Dunmer,https://en.uesp.net/wiki/Morrowind:Adaves_Therayn
Adaves Therayn,Male,Dunmer,https://en.uesp.net/wiki/Morrowind:Adaves_Therayn
Adavi,NA,Khajiit,NA
Adavos,Male,Dunmer,https://en.uesp.net/wiki/Online:Adavos_Dren
Adavos Dren,Male,Dunmer,https://en.uesp.net/wiki/Online:Adavos_Dren
Adayyul,Male,Redguard,https://en.uesp.net/wiki/Online:Arena_Champion_Adayyul
Adbinder,NA,Altmer,NA
Addald,Male,Nord,https://en.uesp.net/wiki/Online:Addald_Cold-Eye
Addald Cold-Eye,Male,Nord,https://en.uesp.net/wiki/Online:Addald_Cold-Eye
Addammus,NA,Dunmer,https://en.uesp.net/wiki/Morrowind:Addammus
Addan,Male,Redguard,NA
Addarari,NA,Dunmer,https://en.uesp.net/wiki/Morrowind:Munbebi_Addarari
Addaribantes,NA,Dunmer,https://en.uesp.net/wiki/Morrowind:Odairan_Addaribantes
Addarnat,NA,Dunmer,https://en.uesp.net/wiki/Morrowind:Addarnat_Assardidairan
Addarnat Assardidairan,NA,Dunmer,https://en.uesp.net/wiki/Morrowind:Addarnat_Assardidairan
Addhiranirr,Female,Khajiit,https://en.uesp.net/wiki/Morrowind:Addhiranirr
Adding,Male,Nord,https://en.uesp.net/wiki/Morrowind:Adding
Addinibi,NA,Dunmer,https://en.uesp.net/wiki/Morrowind:Ninimilk_Addinibi
Addold,Male,Nord,https://en.uesp.net/wiki/Online:Addold
Addrald,Male,Nord,https://en.uesp.net/wiki/Online:Addrald
Addunipu,NA,Dunmer,https://en.uesp.net/wiki/Morrowind:Mibdinahaz_Addunipu
Addut-Lamanu,NA,Dunmer,https://en.uesp.net/wiki/Morrowind:Addut-Lamanu
Addvar,Male,Nord,https://en.uesp.net/wiki/Skyrim:Addvar
Addvild,Male,Nord,https://en.uesp.net/wiki/Skyrim:Addvild
Ade Blackfox,Male,Nord,https://en.uesp.net/wiki/Online:Ade_Blackfox
Ade the Southerner,Male,Nord,https://en.uesp.net/wiki/Online:Ade_the_Southerner
Adeber,Male,Breton,https://en.uesp.net/wiki/Online:Adeber_Loumont
Adeber,Male,Reachman,https://en.uesp.net/wiki/Skyrim:Adeber
Adeber Loumont,Male,Breton,https://en.uesp.net/wiki/Online:Adeber_Loumont
Adeena,Female,Redguard,https://en.uesp.net/wiki/Online:Adeena
Adel,Male,Breton,https://en.uesp.net/wiki/Online:Corporal_Adel
Adelais,Female,Breton,https://en.uesp.net/wiki/Online:Adelais_Tanier
Adelais Tanier,Female,Breton,https://en.uesp.net/wiki/Online:Adelais_Tanier
Adelaisa,Female,Imperial,https://en.uesp.net/wiki/Skyrim:Adelaisa_Vendicci
Adelaisa Vendicci,Female,Imperial,https://en.uesp.net/wiki/Skyrim:Adelaisa_Vendicci
Adele,Female,Breton,https://en.uesp.net/wiki/Online:Adele_Barbe
Adele Barbe,Female,Breton,https://en.uesp.net/wiki/Online:Adele_Barbe
Adelhild,Female,Nord,https://en.uesp.net/wiki/Online:Adelhild
Adelie,Female,Breton,https://en.uesp.net/wiki/Online:Adelie_Metivier
Adelie Metivier,Female,Breton,https://en.uesp.net/wiki/Online:Adelie_Metivier
Adelil,Female,Nord,https://en.uesp.net/wiki/Online:Adelil
Adeline,Female,Breton,https://en.uesp.net/wiki/Online:Lieutenant_Adeline
Adelizza,Female,Redguard,https://en.uesp.net/wiki/Online:Adelizza
Adelle,Female,Breton,https://en.uesp.net/wiki/Online:Adelle_Montagne
Adelle Montagne,Female,Breton,https://en.uesp.net/wiki/Online:Adelle_Montagne
Adelrine,Female,Nord,https://en.uesp.net/wiki/Online:Adelrine
Adelsar,Male,Nord,https://en.uesp.net/wiki/Online:Adelsar
Adelsin,Female,Nord,https://en.uesp.net/wiki/Online:Adelsin
Adenar,Male,Redguard,https://en.uesp.net/wiki/Online:Adenar
Adeo,NA,Deadra,https://en.uesp.net/wiki/Shivering:Adeo
Adept Banus,Male,Dunmer,https://en.uesp.net/wiki/Online:Adept_Banus
Adept Bilotan,Male,Dunmer,https://en.uesp.net/wiki/Online:Adept_Bilotan
Adept Birun,Male,Khajiit,https://en.uesp.net/wiki/Online:Adept_Birun
Adept Delatha,Female,Dunmer,https://en.uesp.net/wiki/Online:Adept_Delatha
Adept Dulmon,Male,Dunmer,https://en.uesp.net/wiki/Online:Adept_Dulmon
Adept Glistel,NA,Dunmer,https://en.uesp.net/wiki/Online:Adept_Glistel
Adept Izjadi,Female,Khajiit,https://en.uesp.net/wiki/Online:Adept_Izjadi
Adept Lakjo,Male,Khajiit,https://en.uesp.net/wiki/Online:Adept_Lakjo
Adept Muvrulea,NA,NA,https://en.uesp.net/wiki/Online:Adept_Muvrulea
Adept Pinumar,Male,Khajiit,https://en.uesp.net/wiki/Online:Adept_Pinumar
Adept Runji,Male,Khajiit,https://en.uesp.net/wiki/Online:Adept_Runji
Adept Sendet,Male,Dunmer,https://en.uesp.net/wiki/Online:Adept_Sendet
Adept Surerndur,Male,Altmer,https://en.uesp.net/wiki/Online:Adept_Surerndur
Adept Talso,Male,Dunmer,https://en.uesp.net/wiki/Online:Adept_Talso
Adept Tatennil,Male,Dunmer,https://en.uesp.net/wiki/Online:Adept_Tatennil
Adept Tendren,Female,Dunmer,https://en.uesp.net/wiki/Online:Adept_Tendren
Adept Urbinna,Female,Khajiit,https://en.uesp.net/wiki/Online:Adept_Urbinna
Adept Ureso,Female,Dunmer,https://en.uesp.net/wiki/Online:Adept_Ureso
Adept Velanda,Female,Dunmer,https://en.uesp.net/wiki/Online:Adept_Velanda
Adhabi,Female,Khajiit,https://en.uesp.net/wiki/Online:Adhabi
Adhahara,Female,Khajiit,https://en.uesp.net/wiki/Online:Druid_Adhahara
Adharama-ri,Female,Khajiit,https://en.uesp.net/wiki/Online:Adharama-ri
Adharanji,Female,Khajiit,https://en.uesp.net/wiki/Morrowind:Adharanji
Adhazabi,NA,Khajiit,https://en.uesp.net/wiki/Online:Adhazabi_Aba-daro
Adhazabi Aba-daro,Female,Khajiit,https://en.uesp.net/wiki/Online:Adhazabi_Aba-daro
Adhimba,Female,Khajiit,https://en.uesp.net/wiki/Online:Adhimba
Adiah,Female,Redguard,https://en.uesp.net/wiki/Online:Adiah_the_Warbler
Adiah the Warbler,Female,Redguard,https://en.uesp.net/wiki/Online:Adiah_the_Warbler
Adian,NA,Altmer,NA
Adibael,NA,Dunmer,https://en.uesp.net/wiki/Morrowind:Adibael_Hainnabibi
Adibael Hainnabibi,NA,Dunmer,https://en.uesp.net/wiki/Morrowind:Adibael_Hainnabibi
Adibazal,Male,Khajiit,https://en.uesp.net/wiki/Online:Adibazal
Adiblargo,Male,Khajiit,https://en.uesp.net/wiki/Online:Adiblargo
Adidshina,NA,Dunmer,https://en.uesp.net/wiki/Morrowind:Zabi_Adidshina
Adiel,Female,Breton,https://en.uesp.net/wiki/Online:Adiel_Charnis
Adiel Charnis,Female,Breton,https://en.uesp.net/wiki/Online:Adiel_Charnis
Adifa,Female,Redguard,https://en.uesp.net/wiki/Online:Adifa_Dunestrider
Adifa Dunestrider,Female,Redguard,https://en.uesp.net/wiki/Online:Adifa_Dunestrider
Adil,Male,Dunmer,https://en.uesp.net/wiki/Morrowind:Adil_Norvayn
Adil,Male,Redguard,NA
Adil Norvayn,Male,Dunmer,https://en.uesp.net/wiki/Morrowind:Adil_Norvayn
Adima,Female,Redguard,https://en.uesp.net/wiki/Online:Lady_Adima
Adinda,Female,Redguard,https://en.uesp.net/wiki/Online:Adinda
Adineta,Male,Khajiit,https://en.uesp.net/wiki/Online:Adineta
Adire,NA,Altmer,NA
Adisla,Female,Nord,https://en.uesp.net/wiki/Skyrim:Adisla
Adistair Geric,Male,Breton,https://en.uesp.net/wiki/Online:Adistair_Geric
Adit,Male,Redguard,https://en.uesp.net/wiki/Online:Arena_Champion_Adit
Aditte,Female,Breton,https://en.uesp.net/wiki/Morrowind:Aditte_Oges
Aditte Oges,Female,Breton,https://en.uesp.net/wiki/Morrowind:Aditte_Oges
Adius,NA,Altmer,NA
Adjold,Male,Nord,https://en.uesp.net/wiki/Online:Adjold
Adjunct Daro,Male,Breton,https://en.uesp.net/wiki/Online:Adjunct_Daro
Adjunct Diwa,Female,Redguard,https://en.uesp.net/wiki/Online:Adjunct_Diwa
Adjunct Rizma,Female,Redguard,https://en.uesp.net/wiki/Online:Adjunct_Rizma
Adjutant Caurtil,Male,Altmer,https://en.uesp.net/wiki/Online:Adjutant_Caurtil
Adkul,Female,Orc,https://en.uesp.net/wiki/Online:Adkul
Adla,Female,Nord,https://en.uesp.net/wiki/Online:Adla
Adlain,NA,Dunmer,NA
Adlam,NA,Dunmer,NA
Adlan,NA,Dunmer,NA
Adlaron,NA,Dunmer,https://en.uesp.net/wiki/Online:Gaelion_Adlaron
Adlathil,NA,Dunmer,NA
Adlbruk,NA,Dunmer,NA
Adlen,NA,Dunmer,NA
Adlenar,NA,Dunmer,NA
Adlis,NA,Dunmer,NA
Adlock,NA,Altmer,NA
Adlon,NA,Dunmer,NA
Adlone,NA,Dunmer,NA
Adlugbuk,Female,Orc,https://en.uesp.net/wiki/Online:Adlugbuk
Adlul,NA,Dunmer,NA
Admaer,Male,Nord,https://en.uesp.net/wiki/Online:Admaer
Admand,NA,Breton,https://en.uesp.net/wiki/Skyrim:Legate_Emmanuel_Admand
Admiral Galvendier,NA,Breton,https://en.uesp.net/wiki/Online:Admiral_Galvendier
Admiral Irathi,NA,Dunmer,https://en.uesp.net/wiki/Online:Admiral_Irathi
Admiral Rolston,NA,Breton,https://en.uesp.net/wiki/Morrowind:Admiral_Rolston
Admunayil,Male,Redguard,https://en.uesp.net/wiki/Online:Admunayil
Adnot Dantien,Male,Breton,https://en.uesp.net/wiki/Online:Adnot_Dantien
Adnot Labouche,Male,Breton,https://en.uesp.net/wiki/Online:Adnot_Labouche
Adoea,Female,Dunmer,NA
Adol,Male,Dunmer,https://en.uesp.net/wiki/Online:Adol_Flan
